country,source,year,Male,Female,ratio
Aruba,PC - Population and Housing Census,1991,78.69,51.76,1.5202859350850078
Afghanistan,PC - Population Census,1979,99.39,5.48,18.13686131386861
Angola,PC - Population Census,1960,91.49,7.32,12.49863387978142
Anguilla,PC - Population Census,1992,84.37,59.46,1.418937100571813
Albania,LFS - Labour Force Survey,2002,75.4,50.44,1.4948453608247425
Netherlands Antilles,PC - Population Census,1972,81.55,30.66,2.6598173515981736
United Arab Emirates,PC - Population Census,1975,95.74,11.08,8.640794223826715
Argentina,PC - Population Census,1960,85.36,19.12,4.464435146443514
Armenia,LFS - Household Labour Force Survey,1997,81.5,62.64,1.3010855683269476
American Samoa,PC - Population Census,1960,85.1,46.93,1.813339015555082
Antigua and Barbuda,PC - Population Census,1970,93.93,41.01,2.2904169714703735
Australia,PC - Population and Housing Census,1961,86.81,21.52,4.033921933085502
Austria,PC - Population Census,1961,78.64,38.58,2.0383618455158112
Azerbaijan,PC - Population Census,1999,79.32,59.45,1.3342304457527332
Burundi,PC - Population Census,1979,94.34,93.17,1.0125576902436406
Belgium,PC - Population Census,1947,81.16,19.4,4.1835051546391755
Benin,OE - Official Estimates,1975,94.92,71.97,1.3188828678616091
Burkina Faso,PC - Population Census,1985,93.63,74.62,1.2547574376842667
Bangladesh,PC - Population Census,1961,95.37,18.59,5.1301775147929
Bulgaria,PC - Population Census,1956,91.78,62.22,1.4750883960141434
Bahrain,PC - Population Census,1971,92.25,6.1,15.122950819672132
Bahamas,PC - Population Census,1963,93.67,52.22,1.793757181156645
Bosnia and Herzegovina,HIES - Living Standards Survey,2001,60.28,29.56,2.0392422192151556
Belarus,PC - Population Census,1989,81.88,62.78,1.3042370181586491
Belize,PC - Population Census,1960,92.47,17.51,5.280982295830953
Bermuda,PC - Census of Population & Housing,1970,92.54,59.97,1.5431048857762215
Bolivia,PC - Population and Housing Census,1976,95.06,21.62,4.396854764107308
Brazil,PC - Population Census,1960,92.09,16.11,5.716325263811298
Barbados,PC - Population Census,1970,84.24,41.43,2.0333091962346126
Brunei Darussalam,PC - Population Census,1960,93.57,20.42,4.582272282076395
Bhutan,PC - Population Census,2005,80.7,51.28,1.5737129485179406
Botswana,PC - Population Census,1981,86.77,40.91,2.120997311170863
Central African Republic,PC - Population Census,1988,95.45,74.9,1.274365821094793
Canada,PC - Population Census,1951,86.29,18.89,4.568025410269985
Switzerland,PC - Population Census,1950,90.27,26.51,3.405130139569973
Chile,PC - Population and Housing Census,1952,93.04,25.58,3.6372165754495707
