ccode,country.name,year,value
4,Afghanistan,1950,48.08965
8,Albania,1950,62.16758
12,Algeria,1950,58.69954
32,Argentina,1950,62.90646
36,Australia,1950,64.61433
40,Austria,1950,65.83807
48,Bahrain,1950,51.66615
50,Bangladesh,1950,47.47802
51,Armenia,1991,70.771960000000007
56,Belgium,1950,65.1508
68,Bolivia,1950,65.1815
72,Botswana,1950,68.39401
76,Brazil,1950,62.04349
100,Bulgaria,1950,68.72687
104,Myanmar,1950,63.23282
108,Burundi,1950,59.25636
116,Cambodia,1950,65.13569
120,Cameroon,1950,52.63326
124,Canada,1950,65.14561
140,Central African Republic,1950,60.21185
144,Sri Lanka,1950,59.88075
152,Chile,1950,61.00049
156,China,1950,60.5041
170,Colombia,1950,60.33999
178,Congo,1950,56.11595
180,"Congo, DRC",1950,53.4938
188,Costa Rica,1950,59.40273
191,Croatia,1991,70.15393
192,Cuba,1950,64.67327
203,Czech Republic,1993,71.67128
204,Benin,1950,59.9061
208,Denmark,1950,64.07893
214,Dominican Republic,1950,64.91467
218,Ecuador,1950,56.97483
222,El Salvador,1950,57.67803
233,Estonia,1991,74.10607
246,Finland,1950,69.57641
250,France,1950,67.03228
270,The Gambia,1950,58.80358
276,Germany,1950,66.66252
288,Ghana,1950,56.07409
300,Greece,1950,57.69523
320,Guatemala,1950,54.15904
332,Haiti,1950,63.90347
340,Honduras,1950,58.65751
348,Hungary,1950,71.69606
356,India,1950,51.49225
360,Indonesia,1950,55.85091
364,Iran,1950,48.45985
368,Iraq,1950,47.90544
372,Ireland,1950,65.1618
376,Israel,1950,68.34946
380,Italy,1950,64.66709
384,Cote d'Ivoire,1950,56.15106
388,Jamaica,1950,64.93792
392,Japan,1950,66.1355
398,Kazakhstan,1991,70.19837
400,Jordan,1950,49.7469
404,Kenya,1950,58.33762
410,South Korea,1950,59.68084
414,Kuwait,1950,52.2041
417,Kyrgyzstan,1991,70.89831
426,Lesotho,1950,63.66963
428,Latvia,1991,72.66032
430,Liberia,1950,56.64748
434,Libya,1950,45.20115
440,Lithuania,1991,73.39165
454,Malawi,1950,61.38213
458,Malaysia,1950,56.15105
466,Mali,1950,50.99177
478,Mauritania,1950,56.82318
480,Mauritius,1950,58.41887
484,Mexico,1950,61.20332
496,Mongolia,1950,68.67823
498,Moldova,1991,71.9141
504,Morocco,1950,58.15609
508,Mozambique,1950,51.64453
516,Namibia,1950,64.27669
524,Nepal,1950,53.00247
528,Netherlands,1950,64.70131
554,New Zealand,1950,64.49525
558,Nicaragua,1950,57.25647
562,Niger,1950,49.01281
578,Norway,1950,62.60097
586,Pakistan,1950,49.28548
591,Panama,1950,60.86957
600,Paraguay,1950,58.82704
604,Peru,1950,58.30374
608,Philippines,1950,62.00456
616,Poland,1950,66.66796
620,Portugal,1950,61.01946
634,Qatar,1950,60.53095
642,Romania,1950,67.45721
643,Russia,1992,74.63264
646,Rwanda,1950,63.27177
682,Saudi Arabia,1950,54.77214
686,Senegal,1950,55.79893
694,Sierra Leone,1950,57.32326
702,Singapore,1950,57.44149
703,Slovakia,1993,75.49663
704,Vietnam,1950,59.49538
705,Slovenia,1991,75.22369
710,South Africa,1950,64.95722
716,Zimbabwe,1950,63.41454
724,Spain,1950,58.01063
748,Swaziland,1950,63.00654
752,Sweden,1950,67.26588
756,Switzerland,1950,62.57391
760,Syria,1950,49.48184
762,Tajikistan,1991,68.21428
764,Thailand,1950,63.02286
768,Togo,1950,51.75219
780,Trinidad and Tobago,1950,65.99895
784,United Arab Emirates,1950,52.1094
788,Tunisia,1950,54.41555
792,Turkey,1950,55.10971
800,Uganda,1950,55.56835
804,Ukraine,1991,66.17104
818,Egypt,1950,47.68605
826,United Kingdom,1950,70.06432
834,Tanzania,1950,55.21658
840,United States,1950,64.51425
858,Uruguay,1950,68.41212
862,Venezuela,1950,60.04261
887,Yemen,1950,60.32124
894,Zambia,1950,57.47963
