ccode,country.name,year,value
4,Afghanistan,2003,59.2064
8,Albania,2003,65.3031
12,Algeria,2003,61.14203
32,Argentina,2003,77.89756
36,Australia,2003,78.16832
40,Austria,2003,81.04241
48,Bahrain,2003,61.01134
50,Bangladesh,2003,54.69856
51,Armenia,2003,71.09109
56,Belgium,2003,80.92169
68,Bolivia,2003,72.60588
72,Botswana,2003,77.13788
76,Brazil,2003,71.22063
100,Bulgaria,2003,79.15587
104,Myanmar,2003,67.15685
108,Burundi,2003,71.30745
116,Cambodia,2003,72.21324
120,Cameroon,2003,64.49582
124,Canada,2003,78.04537
140,Central African Republic,2003,60.38398
144,Sri Lanka,2003,63.38919
152,Chile,2003,69.91455
156,China,2003,71.85576
170,Colombia,2003,71.55718
178,Congo,2003,61.98322
180,"Congo, DRC",2003,58.10288
188,Costa Rica,2003,79.45829
191,Croatia,2003,75.17318
192,Cuba,2003,80.97717
203,Czech Republic,2003,74.04032
204,Benin,2003,62.85792
208,Denmark,2003,85.09374
214,Dominican Republic,2003,71.28186
218,Ecuador,2003,73.43101
222,El Salvador,2003,68.44802
233,Estonia,2003,77.68564
246,Finland,2003,86.85161
250,France,2003,72.80002
270,The Gambia,2003,62.63919
276,Germany,2003,82.05596
288,Ghana,2003,68.51231
300,Greece,2003,68.18909
320,Guatemala,2003,61.00116
332,Haiti,2003,61.2254
340,Honduras,2003,64.19922
348,Hungary,2003,73.72081
356,India,2003,60.21336
360,Indonesia,2003,65.27754
364,Iran,2003,61.23099
368,Iraq,2003,55.08718
372,Ireland,2003,73.27089
376,Israel,2003,73.74238
380,Italy,2003,69.01646
384,Cote d'Ivoire,2003,62.49229
388,Jamaica,2003,73.04612
392,Japan,2003,70.21317
398,Kazakhstan,2003,73.7131
400,Jordan,2003,61.59014
404,Kenya,2003,66.42829
410,South Korea,2003,67.95821
414,Kuwait,2003,57.9994
417,Kyrgyzstan,2003,69.002
426,Lesotho,2003,70.49843
428,Latvia,2003,77.33031
430,Liberia,2003,56.42526
434,Libya,2003,58.72488
440,Lithuania,2003,75.96315
454,Malawi,2003,67.35904
458,Malaysia,2003,67.01385
466,Mali,2003,57.16884
478,Mauritania,2003,60.45485
480,Mauritius,2003,64.06813
484,Mexico,2003,71.28476
496,Mongolia,2003,73.2171
498,Moldova,2003,75.68928
504,Morocco,2003,63.14051
508,Mozambique,2003,73.14222
516,Namibia,2003,78.00163
524,Nepal,2003,60.53717
528,Netherlands,2003,84.34095
554,New Zealand,2003,80.53664
558,Nicaragua,2003,68.03781
562,Niger,2003,52.01567
578,Norway,2003,86.18466
586,Pakistan,2003,62.66456
591,Panama,2003,68.64155
600,Paraguay,2003,67.06139
604,Peru,2003,72.67749
608,Philippines,2003,72.65345
616,Poland,2003,76.89569
620,Portugal,2003,76.12661
634,Qatar,2003,61.10532
642,Romania,2003,69.62835
643,Russia,2000,73.16251
646,Rwanda,2003,90.18131
682,Saudi Arabia,2003,58.01445
686,Senegal,2003,67.08831
694,Sierra Leone,2003,64.88712
702,Singapore,2003,72.8452
703,Slovakia,2003,75.8935
704,Vietnam,2003,79.4821
705,Slovenia,2003,73.90817
710,South Africa,2003,81.74702
716,Zimbabwe,2003,70.73864
724,Spain,2003,77.68134
748,Swaziland,2003,65.52386
752,Sweden,2003,92.61687
756,Switzerland,2003,77.24516
760,Syria,2003,61.35442
762,Tajikistan,2003,72.4022
764,Thailand,2003,72.71809
768,Togo,2003,59.09013
780,Trinidad and Tobago,2003,72.15052
784,United Arab Emirates,2003,60.53057
788,Tunisia,2003,62.97236
792,Turkey,2003,58.06092
800,Uganda,2003,71.3406
804,Ukraine,2003,72.89816
818,Egypt,2003,57.73213
826,United Kingdom,2003,75.85828
834,Tanzania,2003,71.75632
840,United States,2003,74.72871
858,Uruguay,2003,73.53097
862,Venezuela,2003,68.01649
887,Yemen,2003,57.95786
894,Zambia,2003,63.28403
